tabla,politica,operacion
matches,admin_delete_matches,DELETE
matches,admin_insert_matches,INSERT
matches,users_read_matches_by_role,SELECT
matches,admin_update_matches,UPDATE
players,admin_delete_players,DELETE
players,admin_insert_players,INSERT
players,users_read_players_by_role,SELECT
players,admin_update_players,UPDATE
tags,admin_delete_tags,DELETE
tags,admin_insert_tags,INSERT
tags,users_read_tags_by_role,SELECT
tags,admin_update_tags,UPDATE
teams,allow_admin_manage_teams,ALL
teams,allow_authenticated_read_teams,SELECT
videos,admin_delete_videos,DELETE
videos,admin_insert_videos,INSERT
videos,users_read_videos_by_role,SELECT
videos,admin_update_videos,UPDATE
